Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
income_streams[].regularity,"A regularidade da renda é baseada em sua frequência, com um intervalo de 0 a 1, onde 1 representa regularidade perfeita.

**Nota:** Para transações com `frequency`=`SINGLE`, este valor retorna `null`.",1,number,float,Yes,Yes,,
income_streams[].stability,"A estabilidade da renda com base em seu valor, com um intervalo de 0 a 1, onde 1 representa estabilidade perfeita.

**Nota:** Para transações com `frequency`=`SINGLE`, este valor retorna `null`.",1,number,float,Yes,Yes,,
income_streams[].trend,"A tendência de renda durante um período de tempo é calculada entre a última renda e a primeira renda recebida, onde:
  - um número float negativo significa que a tendência de renda está diminuindo durante o período de tempo.
  - um número float positivo significa que a tendência de renda está aumentando durante o período de tempo.

**Nota:** Para transações com `frequency`=`SINGLE`, este valor retorna `null`.",0,number,float,Yes,Yes,,
last_transaction_date,"A data em que a última transação ocorreu, no formato `YYYY-MM-DD`.",2023-02-09,string,date,Yes,No,,
link,O `link.id` ao qual os dados pertencem.,30cb4806-6e00-48a4-91c9-ca55968576c8,string,uuid,Yes,Yes,,
monthly_average,Valor médio de renda recebida por mês em todas as contas para o usuário específico.,2500,number,float,Yes,No,,
monthly_average_high_confidence,Valor médio de renda recebida por mês para o usuário específico com confiança `HIGH`.,2500,number,float,Yes,No,,
monthly_average_irregular,Valor médio de renda irregular (com uma frequência de `SINGLE` ou `IRREGULAR`) recebida por mês para o usuário específico.,0,number,float,Yes,No,,
monthly_average_low_confidence,Valor médio de renda recebida por mês para o usuário específico com confiança `LOW`.,0,number,float,Yes,No,,
monthly_average_medium_confidence,Valor médio de renda recebida por mês para o usuário específico com confiança `MEDIUM`.,0,number,float,Yes,No,,
monthly_average_regular,"Valor médio de renda regular (com uma frequência de `MONTHLY`, `FORTNIGHTLY` ou `WEEKLY`) recebida por mês para o usuário específico.",2500,number,float,Yes,No,,
number_of_income_streams,Número total de fluxos de renda analisados.,1,integer,int32,Yes,No,,
total_high_confidence,Valor total de renda para o usuário específico com confiança `HIGH`.,22500,number,float,Yes,No,,
total_income_amount,Valor total de toda a receita recebida para o usuário específico.,22500,number,float,Yes,No,,
total_irregular_income_amount,Valor total da renda irregular (com uma frequência de `SINGLE` ou `IRREGULAR`) para o usuário específico.,0,number,float,No,No,,
total_low_confidence,Valor total de renda para o usuário específico com confiança `LOW`.,0,number,float,Yes,No,,
total_medium_confidence,Quantidade total de renda para o usuário específico com confiança `MEDIUM`.,0,number,float,Yes,No,,
total_regular_income_amount,"Valor total da renda regular (com uma frequência de `MONTHLY`, `FORTNIGHTLY`, `WEEKLY`) para o usuário específico.",22500,number,float,Yes,No,,
